,Mes,REGION_DE_ORIGEN,SUBPARTIDA,CIIU Rev. 4 A.C (2021),Descripción Arancelaria,PESO_NETO_KGS,VALOR_FOB_USD,División,Grupo,Clase,Descripción
0,2022-01-01,ATLANTICO,102299020,141.0,"Los demás bovinos domésticos vivos, machos",9914340.0,20760605.9,,,141.0,Cría de ganado bovino y bufalino
1,2022-01-01,ATLANTICO,106200000,149.0,"Reptiles (incluidas las serpientes y tortugas de mar), vivos",32.0,8800.0,,,149.0,Cría de otros animales n.c.p.
2,2022-01-01,ATLANTICO,202300010,1011.0,"Cortes finos de carne de animales de la especie bovina, deshuesada, congelada",2681.15,23333.93,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
3,2022-01-01,ATLANTICO,202300093,1011.0,"Cortes de cuartos delanteros de carne de animales de la especie bovina, congelada y deshuesada",11231.15,40499.8,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
4,2022-01-01,ATLANTICO,202300094,1011.0,"Cortes de cuartos traseros de carne de animales de la especie bovina, congelada y deshuesada",6132.4,35940.13,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
5,2022-01-01,ATLANTICO,202300095,1011.0,"Carne picada; recortes (trimmings) provenientes de la elaboración de cualquier corte de animales de la especie bovina, congelada y deshuesada 
",4702.05,17773.75,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
6,2022-01-01,ATLANTICO,303890090,1012.0,"Los demás pescados congelados, excepto los despojos comestibles de pescado de las subpartidas 0303.91 a 0303.99",105.0,424.0,,,1012.0,"Procesamiento y conservación de pescados, crustáceos y moluscos"
7,2022-01-01,ATLANTICO,305720000,1012.0,"Cabezas, colas y vejigas natatorias de pescado, secos, salados o en salmuera, ahumados",787.98,70000.0,,,1012.0,"Procesamiento y conservación de pescados, crustáceos y moluscos"
8,2022-01-01,ATLANTICO,403200000,1040.0,Yogur,163.0,911.0,,104.0,1040.0,Elaboración de productos lácteos
9,2022-01-01,ATLANTICO,406100000,1040.0,"Queso fresco (sin madurar), incluido el de lactosuero y requesón",2611.0,10476.79,,104.0,1040.0,Elaboración de productos lácteos
10,2022-01-01,ATLANTICO,406909000,1040.0,Los demás quesos,120.0,596.8,,104.0,1040.0,Elaboración de productos lácteos
11,2022-01-01,ATLANTICO,511999090,1011.0,"Los demás productos de origen animal no expresados ni comprendidos en otras partidas; animales muertos del capítulo 1, impropios para la alimentación humana",19773.0,67152.05,,,1011.0,Procesamiento y conservación de carne y productos cárnicos
12,2022-01-01,ATLANTICO,603110000,125.0,"Rosas frescas, cortadas para ramos o adornos",389.0,6644.0,,,125.0,Cultivo de flor de corte
13,2022-01-01,ATLANTICO,603121000,125.0,"Claveles miniatura frescos, cortados para ramos o adornos",22164.86,114044.73999999999,,,125.0,Cultivo de flor de corte
14,2022-01-01,ATLANTICO,603129000,125.0,"Los demás claveles frescos, cortados para ramos o adornos",21994.9,134971.24,,,125.0,Cultivo de flor de corte
15,2022-01-01,ATLANTICO,603199090,125.0,"Las demás flores y capullos frescos, cortados para ramos o adornos",2613.0,13339.57,,,125.0,Cultivo de flor de corte
16,2022-01-01,ATLANTICO,701900000,113.0,"Las demás papas (patatas), frescas o refrigeradas",1250.0,1171.2,,,113.0,"Cultivo de hortalizas, raíces y tubérculos "
17,2022-01-01,ATLANTICO,702000000,113.0,Tomates frescos o refrigerados,1545.0,909.1999999999999,,,113.0,"Cultivo de hortalizas, raíces y tubérculos "
18,2022-01-01,ATLANTICO,703100010,113.0,"Cebollas de bulbo rojo (cabezona roja) (Allium cepa L.), frescas o refrigeradas",24555.0,20971.5,,,113.0,"Cultivo de hortalizas, raíces y tubérculos "
19,2022-01-01,ATLANTICO,703100020,113.0,"Cebollas de bulbo blanco (cabezona blanca) (Allium cepa L.), frescas o refrigeradas",475.0,506.44,,,113.0,"Cultivo de hortalizas, raíces y tubérculos "
20,2022-01-01,ATLANTICO,709930000,113.0,Calabazas (zapallos) y calabacines (cucúrbita spp.) frescos o refrigerados,3000.0,2060.0,,,113.0,"Cultivo de hortalizas, raíces y tubérculos "
21,2022-01-01,ATLANTICO,714300000,113.0,"Ñame (Dioscorea spp) frescos, refrigerados, congelados o secos, incluso troceados o en pellet",140766.0,98108.06,,,113.0,"Cultivo de hortalizas, raíces y tubérculos "
22,2022-01-01,ATLANTICO,803101000,122.0,"Plátanos ""plantains"", frescos",41156.0,32136.93,,,122.0,Cultivo de plátano y banano
23,2022-01-01,ATLANTICO,804300000,121.0,"Piñas tropicales (ananás), frescas o secas",3168.0,2708.2400000000002,,,121.0,Cultivo de frutas tropicales y subtropicales
24,2022-01-01,ATLANTICO,804501000,121.0,Guayabas frescas o secas,210.0,310.07,,,121.0,Cultivo de frutas tropicales y subtropicales
25,2022-01-01,ATLANTICO,804502000,121.0,Mangos y mangostanes frescos o secos,1513.0,3074.67,,,121.0,Cultivo de frutas tropicales y subtropicales
26,2022-01-01,ATLANTICO,805502200,121.0,"Lima Tahití (limón Tahití) (citrus latifolia), frescas o secas",51148.0,55811.37,,,121.0,Cultivo de frutas tropicales y subtropicales
27,2022-01-01,ATLANTICO,807110000,113.0,Sandías frescas,30710.0,20327.260000000002,,,113.0,"Cultivo de hortalizas, raíces y tubérculos "
28,2022-01-01,ATLANTICO,807190000,113.0,Melones frescos,9497.5,9117.6,,,113.0,"Cultivo de hortalizas, raíces y tubérculos "
29,2022-01-01,ATLANTICO,807200000,121.0,Papayas frescas,7843.0,6083.49,,,121.0,Cultivo de frutas tropicales y subtropicales
30,2022-01-01,ATLANTICO,808100000,121.0,Manzanas frescas,21168.0,28224.0,,,121.0,Cultivo de frutas tropicales y subtropicales
31,2022-01-01,ATLANTICO,809300000,121.0,"Duraznos (melocotones) frescos, incluidos los griñones y nectarinas frescos",110.0,190.84,,,121.0,Cultivo de frutas tropicales y subtropicales
32,2022-01-01,ATLANTICO,809400000,121.0,Ciruelas y endrinas frescas,280.0,372.15999999999997,,,121.0,Cultivo de frutas tropicales y subtropicales
33,2022-01-01,ATLANTICO,810901010,121.0,"Granadilla (Passiflora ligularis), frescas",785.0,1216.75,,,121.0,Cultivo de frutas tropicales y subtropicales
34,2022-01-01,ATLANTICO,810901020,121.0,"Maracuyá (parchita) (Passif/ora edulis varo Flavicarpa), frescas",475.0,2104.58,,,121.0,Cultivo de frutas tropicales y subtropicales
35,2022-01-01,ATLANTICO,810901030,121.0,"Gulupa (maracuyá morado) (Passiflora edulis varo edulis), frescas",50.0,316.46,,,121.0,Cultivo de frutas tropicales y subtropicales
36,2022-01-01,ATLANTICO,810903000,121.0,"Tomate de árbol (lima tomate, tamarillo) (cyphomandra betacea) fresco",253.0,783.0400000000001,,,121.0,Cultivo de frutas tropicales y subtropicales
37,2022-01-01,ATLANTICO,810904000,121.0,Pitahayas frescas,110.0,669.55,,,121.0,Cultivo de frutas tropicales y subtropicales
38,2022-01-01,ATLANTICO,810909090,121.0,Las demás frutas u otros frutos frescos,4424.0,3652.3,,,121.0,Cultivo de frutas tropicales y subtropicales
39,2022-01-01,ATLANTICO,901119000,1061.0,"Los demás cafés sin tostar, sin descafeinar",38411.0,184997.36,,,1061.0,Trilla de café
40,2022-01-01,ATLANTICO,904219000,128.0,"Los demás frutos de los géneros Capsicum o Pimenta, secos, sin triturar ni pulverizar",360.0,444.15999999999997,,,128.0,Cultivo de especias y de plantas aromáticas y medicinales 
41,2022-01-01,ATLANTICO,1102200000,1051.0,Harina de maíz,334800.0,244755.0,,,1051.0,Elaboración de productos de molinería
42,2022-01-01,ATLANTICO,1105100000,1020.0,"Harina, sémola y polvo de papa (patata)",23602.0,15338.24,,102.0,1020.0,"Procesamiento y conservación de frutas, legumbres, hortalizas y tubérculos"
